run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
719	92	12	2	0	14	0	1	1003	2223.62	373.61	-370.09	115.37	1444.9	13	1000260560	20	0
719	92	12	2	1	14	1	10	1000	814.40	134.48	-8.75	575.54	1365.0	14	1000180400	26	0
719	92	16	1	0	14	0	2	1091	2936.82	-82.17	-153.15	-333.58	1487.7	13	1000140280	11	0
719	92	24	1	0	14	1	2	1092	3474.29	-90.12	-249.76	-302.93	1318.7	14	1000080160	13	0
719	92	31	1	0	14	0	2	1091	2653.42	-234.22	52.66	90.43	1124.0	13	1000180400	14	0
719	92	33	1	0	14	0	2	1091	1665.16	-49.83	-72.90	476.05	1060.8	13	1000180400	13	1
719	92	40	2	0	14	0	10	1000	647.14	-7.02	-56.68	69.91	1197.3	13	1000180400	15	1
719	92	40	2	1	14	1	10	1000	536.24	-552.23	-71.21	203.37	916.0	14	1000140280	28	0
719	92	42	2	0	14	0	10	1000	1500.80	-49.89	63.00	-388.80	84.5	13	1000080160	23	0
719	92	42	2	1	14	1	0	1002	326.60	705.97	586.96	144.89	745.1	14	1000140280	9	0
719	92	43	1	0	14	0	0	1001	471.35	-70.82	29.15	178.15	880.2	13	1000180400	8	1
719	92	44	1	0	14	0	0	1001	1248.78	-52.11	61.38	224.60	1318.1	13	1000180400	13	1
719	92	45	1	0	14	0	0	1001	883.78	126.81	63.52	475.67	111.5	13	1000180400	14	1
711	90	4	2	0	14	0	1	1003	1596.18	-696.53	-466.79	998.84	1001.5	13	1000140280	16	0
711	90	4	2	1	14	0	10	1000	709.10	223.77	147.52	331.72	1037.4	13	1000180400	12	0
711	90	6	1	0	14	0	1	1004	763.06	85.96	-177.92	8.87	475.6	13	1000180400	12	1
711	90	11	1	0	14	1	0	1002	564.28	236.60	201.28	436.55	171.1	14	1000180400	9	0
711	90	13	2	0	14	1	0	1002	612.75	6.71	-211.79	70.97	249.5	14	1000180400	27	0
711	90	13	2	1	12	0	1	1003	656.39	169.82	150.30	-367.57	843.3	11	1000200400	17	0
711	90	15	1	0	14	0	1	1003	1878.84	-204.70	-192.51	87.52	1500.4	13	1000180400	12	0
711	90	18	2	0	14	0	1	1003	2900.69	67.81	-92.70	-292.24	581.3	13	1000080160	14	0
711	90	18	2	1	14	0	0	1001	617.69	-24.37	42.44	444.14	1078.2	13	1000180400	9	1
711	90	19	2	0	14	0	0	1001	673.02	-510.71	93.89	175.54	1259.2	13	1000130270	17	0
711	90	19	2	1	14	1	1	1008	3154.77	-103.47	99.74	143.19	1426.7	14	1000180400	21	1
711	90	20	4	0	14	0	0	1001	567.53	-228.76	-151.19	-323.97	731.0	13	1000080160	9	0
711	90	20	4	1	14	0	10	1000	278.57	631.54	217.38	245.32	693.4	13	1000200400	13	0
711	90	20	4	2	14	1	1	1008	784.29	294.48	103.37	-311.39	1396.2	14	1000140280	13	0
711	90	20	4	3	14	1	0	1002	963.51	-19.79	80.31	305.80	903.4	14	1000180400	10	1
711	90	25	3	0	14	0	1	1003	1581.31	118.96	170.02	141.53	994.4	13	1000180400	11	1
711	90	25	3	1	14	0	0	1001	1061.43	99.62	-79.88	-439.54	612.7	13	1000200400	8	0
711	90	25	3	2	14	0	10	1000	691.26	-48.12	-425.08	1006.83	511.2	13	1000080160	12	0
711	90	27	2	0	14	1	0	1002	1133.43	-13.25	-52.21	227.74	351.4	14	1000180400	10	1
711	90	27	2	1	14	0	1	1003	703.05	-634.14	333.19	527.77	606.8	13	1000200400	12	0
